SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU012,60,-1,1,0
IDU012,61,308,1,0
IDU012,62,344,1,0
IDU012,63,-1,1,0
IDU012,64,341,1,0
IDU012,65,306,1,0
IDU012,66,337,1,0
IDU012,67,0,1,0
IDU012,68,413,1,0
IDU012,69,0,1,0
IDU012,70,-1,1,0
IDU012,71,267,1,0
IDU012,72,-1,1,0
IDU012,73,303,1,0
IDU012,74,301,1,0
IDU012,75,317,1,0
IDU012,76,-1,1,0
IDU012,77,291,1,0
IDU012,1,1365,1,1
IDU012,2,935,1,1
IDU012,3,1128,1,1
IDU012,4,1134,1,1
IDU012,5,1111,1,1
IDU012,6,875,1,1
IDU012,7,1216,1,1
IDU012,8,993,1,1
IDU012,9,919,1,1
IDU012,10,1126,1,1
IDU012,11,891,1,1
IDU012,12,999,1,1
IDU012,13,845,1,1
IDU012,14,720,1,1
IDU012,15,1161,1,1
IDU012,16,1003,1,1
IDU012,17,1039,1,1
IDU012,18,832,1,1
IDU012,19,635,1,1
IDU012,20,833,1,1
IDU012,21,750,1,1
IDU012,22,1485,1,1
IDU012,23,824,1,1
IDU012,24,817,1,1
IDU012,1,834,-1,2
IDU012,1,1567,-1,4
IDU012,1,2401,-1,5
IDU012,1,466,-1,3
IDU012,2,767,-1,2
IDU012,2,968,-1,4
IDU012,2,1735,-1,5
IDU012,2,500,-1,3
IDU012,3,300,-1,2
IDU012,3,867,-1,4
IDU012,3,1167,-1,5
IDU012,4,800,-1,2
IDU012,4,835,-1,4
IDU012,4,1635,-1,5
IDU012,4,567,-1,3
IDU012,5,967,-1,2
IDU012,5,934,-1,4
IDU012,5,1901,-1,5
IDU012,5,633,-1,3
IDU012,6,901,-1,2
IDU012,6,3035,-1,4
IDU012,6,3936,-1,5
IDU012,6,467,-1,3
IDU012,7,934,-1,2
IDU012,7,1234,-1,4
IDU012,7,2168,-1,5
IDU012,7,634,-1,3
IDU012,8,1034,-1,2
IDU012,8,1268,-1,4
IDU012,8,2302,-1,5
IDU012,8,801,-1,3
IDU012,9,700,-1,2
IDU012,9,2268,-1,4
IDU012,9,2968,-1,5
IDU012,9,468,-1,3
IDU012,10,835,-1,2
IDU012,10,900,-1,4
IDU012,10,1735,-1,5
IDU012,10,501,-1,3
IDU012,11,767,-1,2
IDU012,11,1501,-1,4
IDU012,11,2268,-1,5
IDU012,11,400,-1,3
IDU012,12,700,-1,2
IDU012,12,1768,-1,4
IDU012,12,2468,-1,5
IDU012,12,533,-1,3
IDU012,13,634,-1,2
IDU012,13,2835,-1,4
IDU012,13,3469,-1,5
IDU012,13,300,-1,3
IDU012,14,900,-1,2
IDU012,14,1835,-1,4
IDU012,14,2735,-1,5
IDU012,14,500,-1,3
IDU012,15,834,-1,2
IDU012,15,1767,-1,4
IDU012,15,2601,-1,5
IDU012,15,534,-1,3
IDU012,16,733,-1,2
IDU012,16,1968,-1,4
IDU012,16,2701,-1,5
IDU012,16,433,-1,3
IDU013,1,542,1,0
IDU013,2,-1,1,0
IDU013,3,396,1,0
IDU013,4,537,1,0
IDU013,5,367,1,0
IDU013,6,394,1,0
IDU013,7,377,1,0
IDU013,8,-1,1,0
IDU013,9,352,1,0
IDU013,10,492,1,0
IDU013,11,368,1,0
IDU013,12,391,1,0
IDU013,13,375,1,0
IDU013,14,345,1,0
IDU013,15,-1,1,0
IDU013,16,333,1,0
IDU013,17,315,1,0
